2022-07-02T14:41:15.898957Z stderr F I0702 14:41:15.898285       1 serving.go:348] Generated self-signed cert in-memory
2022-07-02T14:41:19.1169265Z stderr F W0702 14:41:19.116700       1 authentication.go:346] Error looking up in-cluster authentication configuration: Get "https://172.22.0.2:6443/api/v1/namespaces/kube-system/configmaps/extension-apiserver-authentication": x509: certificate is valid for 10.96.0.1, 172.22.0.5, 127.0.0.1, not 172.22.0.2
2022-07-02T14:41:19.1169686Z stderr F W0702 14:41:19.116748       1 authentication.go:347] Continuing without authentication configuration. This may treat all requests as anonymous.
2022-07-02T14:41:19.117034Z stderr F W0702 14:41:19.116762       1 authentication.go:348] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
2022-07-02T14:41:19.1303996Z stderr F I0702 14:41:19.130173       1 server.go:147] "Starting Kubernetes Scheduler" version="v1.24.0"
2022-07-02T14:41:19.1304313Z stderr F I0702 14:41:19.130323       1 server.go:149] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
2022-07-02T14:41:19.1358169Z stderr F I0702 14:41:19.135612       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2022-07-02T14:41:19.1358361Z stderr F I0702 14:41:19.135661       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
2022-07-02T14:41:19.1358415Z stderr F I0702 14:41:19.135640       1 secure_serving.go:210] Serving securely on 127.0.0.1:10259
2022-07-02T14:41:19.1369074Z stderr F I0702 14:41:19.136673       1 shared_informer.go:255] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2022-07-02T14:41:19.1452233Z stderr F W0702 14:41:19.144940       1 reflector.go:324] vendor/k8s.io/client-go/informers/factory.go:134: failed to list *v1.CSIDriver: Get "https://172.22.0.2:6443/apis/storage.k8s.io/v1/csidrivers?limit=500&resourceVersion=0": x509: certificate is valid for 10.96.0.1, 172.22.0.5, 127.0.0.1, not 172.22.0.2
